dutyAddr,dutyMapimg,dutyName,dutyTel1,dutyTime1c,dutyTime1s,dutyTime2c,dutyTime2s,dutyTime3c,dutyTime3s,dutyTime4c,dutyTime4s,dutyTime5c,dutyTime5s,dutyTime6c,dutyTime6s,hpid,postCdn1,postCdn2,rnum,wgs84Lat,wgs84Lon
"서울특별시 강남구 헌릉로571길 7, 강남레체 1층 101호 (세곡동)",100세건강약국,100세건강약국,02-445-1460,2000,900,2000,900,2000,900,2000,900,2000,900,1700,900,C1109587,63,76,1,37.46604487,127.1013669
"서울특별시 강남구 강남대로 624, ICT TOWER 1층 일부호 (신사동)",신사역 6번출구에서 30초(70m) 정도 직진하시면 ICT타워 1층에 1층엔약국이 있습니다.,1층엔약국,02-518-3014,2000,800,2000,800,2000,800,2000,800,2000,800,1800,900,C1108823,60,35,2,37.5174747,127.0195102
"서울특별시 강남구 선릉로 324, SH타워 5층 (대치동)","일요일 : 1,3,5주 휴무,한티역 1번출구에서 262m",5층약국,02-508-5030,1930,830,2030,830,1930,830,2030,830,2030,830,1600,830,C1109562,62,5,3,37.49853038,127.0520942
"서울특별시 강남구 테헤란로78길 8, 7층 일부(대치동, 현빌딩)",2013.12 개업,7층애약국,02-567-0409,1900,1000,1900,1000,1900,1000,1900,1000,1900,1000,1900,1000,C1100086,61,94,4,37.50562628,127.0552145
서울특별시 강남구 일원로 53 (일원동) ,소림빌딩 1층,E-삼성약국,02-3412-1254,1900,900,1900,900,1900,900,1900,900,1900,900,1300,900,C1104799,63,43,5,37.489263,127.0818109
서울특별시 강남구 압구정로 108 (신사동) 1층 7호,2014.03 개업,가로수길약국,02-518-4201,2000,930,2000,930,2000,930,2000,930,2000,930,1800,930,C1106934,60,28,6,37.52291865,127.0205796
"서울특별시 강남구 학동로 413, 청담빌딩 2층 (청담동)",가온약국,가온약국,02-545-0546,1830,830,1830,830,1830,830,1830,830,1830,830,1400,830,C1108049,60,69,7,37.51817613,127.0451744
서울특별시 강남구 압구정로 336  (신사동),감마약국,감마약국,02-547-8990,2100,900,2100,900,2100,900,2100,900,2100,900,2000,900,C1102142,60,18,8,37.52802105,127.0384784
"서울특별시 강남구 학동로 지하 346, 강남구청역 B1층 111호 (삼성동)","강남구청역사 내 지하1층에 있습니다.
1~4번 출구 어디로 들어오셔도 보입니다.",강남구청역약국,02-511-6252,2100,800,2100,800,2100,800,2100,800,2100,800,1700,900,C1109043,60,99,9,37.51718924,127.0413014
서울특별시 강남구 남부순환로 2615 (도곡동) 극동스타클래스208호,강남굿모닝약국,강남굿모닝약국,02-529-4155,2000,940,2000,940,2000,940,2000,940,2000,940,2000,940,C1107162,62,67,10,37.4851917,127.0358695
