dutyAddr,dutyMapimg,dutyName,dutyTel1,dutyTime1c,dutyTime1s,dutyTime2c,dutyTime2s,dutyTime3c,dutyTime3s,dutyTime4c,dutyTime4s,dutyTime5c,dutyTime5s,dutyTime6c,dutyTime6s,hpid,postCdn1,postCdn2,rnum,wgs84Lat,wgs84Lon
"서울특별시 강동구 천호대로 1006, 브라운스톤천호 105호 (성내동)",1층천호약국,1층천호약국,02-478-1178,1930,1000,1930,1000,1930,1000,1930,1000,1930,1000,1530,1000,C1108656,53,78,1,37.5380514,127.123789
"서울특별시 강동구 진황도로 179, 1층 (둔촌동)",7형제약국,7형제약국,02-478-9855,2200,900,2200,900,2200,900,2200,900,2200,900,2200,900,C1102839,53,65,2,37.52939624,127.1429696
"서울특별시 강동구 동남로 891, 현대델리안오피스텔 102호 (명일동)",지하철 5호선 4번출구에서 강동경희대학교병원 방향으로 병원 맞은편에 위치.,가까운단골약국,02-441-8855,1900,900,1900,900,1900,900,1900,900,1900,900,1330,900,C1107902,52,69,3,37.55331812,127.1559484
"서울특별시 강동구 양재대로 1576, 삼익빌딩 1층 (명일동)",가까운사랑약국,가까운사랑약국,02-428-4428,2030,900,2030,900,2030,900,2030,900,2030,900,1800,900,C1108593,52,96,4,37.54616201,127.1434543
서울특별시 강동구 양재대로 1355,강남약국,강남약국,02-486-7823,2100,900,2100,900,2100,900,2100,900,2100,900,1900,900,C1101935,54,4,5,37.5276135,127.135744
"서울특별시 강동구 양재대로 1465, 마루홈타운 107호 (길동)",강동더본약국,강동더본약국,02-477-8280,2030,830,2030,830,2030,830,2030,830,2030,830,1930,830,C1108720,53,53,6,37.53683992,127.1393143
서울특별시 강동구 올림픽로 686,천호동친구병원(구강돌가톨릭병원)정문옆,강동메디칼약국,02-483-0108,2100,830,2100,830,2100,830,2100,830,2100,830,1300,900,C1101883,53,27,7,37.54250239,127.1250257
서울특별시 강동구 올림픽로 782,강동미래약국,강동미래약국,02-442-6263,1930,900,1930,900,1930,900,1930,900,1930,900,1700,900,C1101884,52,64,8,37.550936,127.1281132
서울특별시 강동구 성내로 40  (성내동),강동보건약국,강동보건약국,02-488-4100,1900,900,1900,900,1900,900,1900,900,1900,900,1500,900,C1101885,53,99,9,37.52881493,127.1246185
"서울특별시 강동구 동남로73길 13, 1층 (명일동)",강동새경희약국,강동새경희약국,02-3428-0100,1900,900,1900,900,1900,900,1900,900,1900,900,1600,900,C1108330,52,69,10,37.55274212,127.1554628
