dutyAddr,dutyMapimg,dutyName,dutyTel1,dutyTime1c,dutyTime1s,dutyTime2c,dutyTime2s,dutyTime3c,dutyTime3s,dutyTime4c,dutyTime4s,dutyTime5c,dutyTime5s,dutyTime6c,dutyTime6s,hpid,postCdn1,postCdn2,rnum,wgs84Lat,wgs84Lon
"서울특별시 강북구 도봉로 339, 1층 (수유동)","365일 연중무휴, 
서울시 지정 공공심야약국 새벽 1시까지 운영합니다.
수유역 7번출구앞에 있습니다. 감사합니다",7번약국,02-904-7773,2500,900,2500,900,2500,900,2500,900,2500,900,2500,900,C1108353,10,74,1,37.6382557,127.0254877
"서울특별시 강북구 솔샘로 184, 에스케이북한산시티 112~113호 (미아동)","SK북한산시티주상가1층(국민은행라인),미양초등길건너",SK온누리약국,02-983-8895,2100,830,2100,830,2100,830,2100,830,2100,830,1700,830,C1103262,11,92,2,37.61995692,127.0128495
서울특별시 강북구 한천로132길 28 (번동),가까운현대약국,가까운현대약국,02-6405-5452,2100,900,2100,900,2100,900,2100,900,2100,900,1500,900,C1108936,10,58,3,37.63997965,127.0293418
서울특별시 강북구 오패산로52길 39 (미아동),미아삼거리역마을버스5분거리,가족사랑약국,02-945-3720,1700,900,1700,900,1700,900,1700,900,1700,900,1230,900,C1103520,11,52,4,37.6246969,127.0320793
"서울특별시 강북구 도봉로49길 8, 1층 (미아동)",강북김약국,강북김약국,02-980-1717,2000,900,2000,900,2000,900,2000,900,2000,900,1500,900,C1108680,11,70,5,37.62527555,127.0259544
서울특별시 강북구 도봉로 79 (미아동),삼양사거리에서삼양동방면,강북다모아약국,02-945-2088,1900,900,1900,900,1900,900,1900,900,1900,900,1600,900,C1103266,12,5,6,37.61631842,127.0295433
서울특별시 강북구 도봉로 190 (미아동),미아역4번출구앞,강북메디칼약국,02-981-9512,1930,900,1930,900,1930,900,1930,900,1930,900,1630,900,C1101898,11,57,7,37.62585141,127.0267738
"서울특별시 강북구 한천로 1081, 1층 (수유동)",강북우리약국,강북우리약국,02-900-8345,2100,900,2100,900,2100,900,2100,900,2100,900,1800,900,C1108406,10,70,8,37.64247283,127.0229692
"서울특별시 강북구 도봉로37길 7, 1층 (미아동)",강북제일약국,강북제일약국,02-985-3116,2000,900,2000,900,2000,900,2000,900,2000,900,1600,900,C1103420,11,75,9,37.62230428,127.0271044
서울특별시 강북구 솔매로 59 (미아동),"롯데마트삼양점(삼양오거리)부근,삼양제일내과1층",건강비타민약국,02-984-4777,2100,900,2100,900,2100,900,2100,900,2100,900,1600,900,C1103955,11,27,10,37.62499151,127.0188123
