dutyAddr,dutyMapimg,dutyName,dutyTel1,dutyTime1c,dutyTime1s,dutyTime2c,dutyTime2s,dutyTime3c,dutyTime3s,dutyTime4c,dutyTime4s,dutyTime5c,dutyTime5s,dutyTime6c,dutyTime6s,hpid,postCdn1,postCdn2,rnum,wgs84Lat,wgs84Lon
"서울특별시 강서구 화곡로 173 , 1층","청도빌딩 1층,화곡역2번출구바로앞",21C세계로약국,02-2607-0624,2000,900,2000,900,2000,900,2000,900,2000,900,1600,900,C1104730,77,2,1,37.54204763,126.8407529
"서울특별시 강서구 강서로 43, B104호 (화곡동, 도양라비앙타워)",까치산역 3번 출구,365그린약국,02-2602-8006,2200,900,2200,900,2200,900,2200,900,2200,900,1700,900,C1103638,77,74,2,37.5315208,126.8465317
"서울특별시 강서구 공항대로41길 52, 버들빌딩 1층 (등촌동)",365열린약국,365열린약국,02-3661-3650,2500,830,2500,830,2500,830,2500,830,2500,830,2500,900,C1109578,75,87,3,37.56004526,126.8462093
서울특별시 강서구 화곡로61길 26 (등촌동),강서구청4거리롯데캐슬아파트맞은편부민병원응급실및주차타워앞,SooPharm수약국,02-2659-0053,2000,900,2000,900,2000,900,2000,900,2000,900,1800,900,C1103889,75,90,4,37.55729052,126.850985
"서울특별시 강서구 공항대로 지하 267, 발산역(5호선) 505-106호 (마곡동)",가고싶은이화사랑약국,가고싶은이화사랑약국,02-3663-6922,1800,900,1800,900,1800,900,1800,900,1800,900,1200,930,C1109293,78,3,5,37.55902927,126.8373108
서울특별시 강서구 공항대로 426  (화곡동),가까운약국,가까운약국,02-2697-7796,1830,900,1830,900,1830,900,1830,900,1830,900,1600,900,C1102125,76,54,6,37.55479707,126.8542313
"서울특별시 강서구 마곡중앙4로 74, 106~107호 (마곡동)",가까운중앙약국,가까운중앙약국,02-2662-3675,1830,830,1830,830,1830,830,1830,830,1830,830,1300,900,C1108400,78,5,7,37.55788637,126.83492
"서울특별시 강서구 공항대로36길 9, 1층 (내발산동)",가까운천사약국,가까운천사약국,02-2662-0266,1830,830,1830,830,1830,830,1830,830,1830,830,1330,900,C1108270,76,32,8,37.55811695,126.8374637
"서울특별시 강서구 허준로 198, 가양프라자 1층 104, 105호 (가양동)",가양누리약국,가양누리약국,02-3663-8013,1930,900,1930,900,1930,900,2000,900,1930,900,1600,900,C1108835,75,32,9,37.56129159,126.8602541
서울특별시 강서구 양천로57길 13,씨드가양플라자 302호,가양메디칼약국,02-3661-3055,1830,815,1830,815,1830,815,1830,815,1830,815,1600,815,C1102136,75,27,10,37.56360237,126.8520272
