dutyAddr,dutyMapimg,dutyName,dutyTel1,dutyTime1c,dutyTime1s,dutyTime2c,dutyTime2s,dutyTime3c,dutyTime3s,dutyTime4c,dutyTime4s,dutyTime5c,dutyTime5s,dutyTime6c,dutyTime6s,hpid,postCdn1,postCdn2,rnum,wgs84Lat,wgs84Lon
서울특별시 관악구 남부순환로 1832 1층,1번약국,1번약국,02-872-7583,1900,900,1900,900,1900,900,1900,900,1900,900,1700,900,C1104416,87,88,1,37.48070457,126.9534959
서울특별시 관악구 신림로 370,신림역7번출구전방250m,21세기약국,02-888-2272,1900,900,1900,900,1900,900,1900,900,1900,900,1500,900,C1102118,87,53,2,37.48729928,126.9291119
서울특별시 관악구 남부순환로 1615  (신림동),신림역8번출구바로앞,365열린약국,02-874-2332,2300,900,2300,900,2300,900,2300,900,2300,900,2300,900,C1102838,87,54,3,37.48455656,126.9300888
"서울특별시 관악구 관악로 195, 4층 408호 (봉천동, 관악위버폴리스)",4층다나약국,4층다나약국,02-878-9529,1830,900,1830,900,1830,900,1830,1400,1830,900,1300,900,C1109363,87,45,4,37.48256382,126.9530987
"서울특별시 관악구 신림로 350, 5층 (신림동, 서원프라자, 태영아파트)",5층엔약국,5층엔약국,02-877-3080,1830,830,1830,830,1830,830,1830,830,1830,830,1400,830,C1109365,87,54,5,37.48550722,126.9299488
"서울특별시 관악구 양녕로 46, 112호 (봉천동, 메카플러스)",가까운약국,가까운약국,02-883-7266,2100,830,2100,830,2100,830,2100,830,2100,830,1800,830,C1107473,87,47,6,37.48614045,126.9472874
서울특별시 관악구 봉천로 486,서울대입구전철역8번출구,가은약국,02-878-9669,2100,900,2100,900,2100,900,2100,900,2100,900,2100,900,C1102190,87,38,7,37.48162829,126.953733
"서울특별시 관악구 대학길 36, (신림동)",강원약국,강원약국,02-874-4575,2130,900,2130,900,2130,900,2130,900,2130,900,2130,900,C1104257,88,13,8,37.46912466,126.9375731
"서울특별시 관악구 남부순환로 1539, (신림동)",남부초등학교입구,건강약국,02-855-2883,2200,900,2200,900,2200,900,2200,900,2200,900,2200,900,C1103329,87,63,9,37.48340063,126.9215875
"서울특별시 관악구 남부순환로 1715, 101호 (봉천동, 신우빌딩)",봉천역4번출구,건강온누리약국,070-7740-3349,2100,900,2100,900,2100,900,2100,900,2100,900,1600,900,C1107773,87,57,10,37.48303795,126.9408901
