dutyAddr,dutyMapimg,dutyName,dutyTel1,dutyTime1c,dutyTime1s,dutyTime2c,dutyTime2s,dutyTime3c,dutyTime3s,dutyTime4c,dutyTime4s,dutyTime5c,dutyTime5s,dutyTime6c,dutyTime6s,hpid,postCdn1,postCdn2,rnum,wgs84Lat,wgs84Lon
"서울특별시 광진구 용마산로 49, (중곡동)",21세기약국,21세기약국,02-2201-9469,1800,1000,1800,1000,1800,1000,1800,1000,1800,1000,1300,1000,C1102120,49,23,1,37.55796921,127.0876806
서울특별시 광진구 광나루로56길 63 (구의동) 프라임프라자상가 1층,강변역1번출구프라림프라자135호,강변그랜드약국,02-447-4842,2100,830,2100,830,2100,830,2100,830,2100,830,1800,830,C1101896,51,19,2,37.53678915,127.0961598
"서울특별시 광진구 광나루로 410, 105호 (화양동, KCC파크타운)",어린이대공원역 3번 출구,건대가온약국,02-453-4669,2300,900,2300,900,2300,900,2300,900,2300,900,2300,900,C1107781,50,21,3,37.54656048,127.0750477
"서울특별시 광진구 아차산로 244, 1층 나1호 일부호 (자양동)",건대애플약국,건대애플약국,02-463-1020,2030,900,2030,900,2030,900,2030,900,2030,900,2030,900,C1109512,50,73,4,37.53973055,127.0702007
서울특별시 광진구 아차산로 218 (자양동),건대역약국,건대역약국,02-497-4337,2200,800,2200,800,2200,800,2200,800,2200,800,2200,800,C1102919,50,72,5,37.54075634,127.0674076
"서울특별시 광진구 능동로 110, 스타시티영존 지하2층 B203-1,204호 (화양동)",건대온누리약국,건대온누리약국,02-457-7999,1830,830,1830,830,1830,830,1830,830,1830,830,1300,830,C1108413,50,30,6,37.54065938,127.0714119
"서울특별시 광진구 능동로 지하110, 7호선 건대입구역 지하2층 201호 (화양동)",건대지하철약국,건대지하철약국,02-461-1401,1830,800,1830,800,1830,800,1830,800,1830,800,1300,830,C1102920,50,30,7,37.54084161,127.0710464
"서울특별시 광진구 구의로 7, 1층 2호 (구의동)",고약국,고약국,02-457-6159,2100,900,2100,900,2100,900,2100,900,2100,900,2100,900,C1109513,50,44,8,37.53860554,127.0890693
"서울특별시 광진구 면목로 130, 1층 (중곡동)",중곡역2번출구전방5분거리,광제사약국,02-464-1832,2100,900,2100,900,2100,900,2100,900,2100,900,2000,900,C1102938,49,10,9,37.56498215,127.0809199
서울특별시 광진구 자양로 43  (자양동),구의역4번출구잠실대교방향300m,광진백화점약국,02-457-7873,1800,900,1800,900,1800,900,1800,900,1800,900,1300,900,C1103276,51,3,10,37.53163161,127.0853421
