dutyAddr,dutyMapimg,dutyName,dutyTel1,dutyTime1c,dutyTime1s,dutyTime2c,dutyTime2s,dutyTime3c,dutyTime3s,dutyTime4c,dutyTime4s,dutyTime5c,dutyTime5s,dutyTime6c,dutyTime6s,hpid,postCdn1,postCdn2,rnum,wgs84Lat,wgs84Lon
서울특별시 구로구 구로동로 132 (구로동),구로4동우체국옆,1번약국,02-851-1155,1900,830,1900,830,1900,830,1900,830,1900,830,1700,900,C1102116,83,11,1,37.49042029,126.884202
"서울특별시 구로구 남부순환로97길 3, KS프리미어빌딩 105호 (개봉동)",365열린약국,365열린약국,02-3666-0784,2230,830,2230,830,2230,830,2230,830,2230,830,2230,830,C1108637,83,28,2,37.49399577,126.8582551
"서울특별시 구로구 구로동로42길 58, (구로동)",구로변전소앞,505약국,02-856-5050,1830,900,1830,900,1830,900,1830,900,1830,900,1800,900,C1102124,82,80,3,37.49817617,126.8842081
"서울특별시 구로구 디지털로26길 38, G-Tower 2층 208호 (구로동)",G타워약국,G타워약국,02-6077-3924,1930,930,1930,930,1930,930,1930,930,1930,930,1930,930,C1109493,83,93,4,37.4798477,126.8953185
서울특별시 구로구 디지털로 227 (가리봉동),W스토아청와약국,W스토아청와약국,02-855-1482,2300,830,2300,830,2300,830,2300,830,2300,830,2300,830,C1104869,83,88,5,37.48046153,126.890906
"서울특별시 구로구 경인로40길 12, GB빌딩 1층 (개봉동)",가람약국,가람약국,02-2614-7645,2100,900,1900,900,1900,900,1900,900,1900,900,1400,900,C1109499,82,77,6,37.4962642,126.8591313
서울특별시 구로구 고척로 123-1 (개봉동),구103-1번버스종점,개봉지예당약국,02-2681-0292,2030,830,2030,830,2030,830,2030,830,2030,830,2030,830,C1103013,82,47,7,37.50222854,126.8478205
"서울특별시 구로구 경인로 176, 308호 (오류동, 시티월드)",개성약국,개성약국,02-2615-1862,1800,900,1800,900,1800,900,1800,900,1800,900,1300,900,C1104117,82,71,8,37.49435978,126.8410487
서울특별시 구로구 경인로 661  (신도림동),"신도림1차푸르지오 219,237호",건강샘온누리약국,02-3439-8373,1930,930,1930,930,1930,930,1930,930,1930,930,1630,930,C1102052,82,8,9,37.50904858,126.8869872
서울특별시 구로구 고척로21나길 18 (개봉동),개봉중학교근처,건강온누리약국,02-2625-3337,2100,900,2100,900,2100,900,2100,900,2100,900,2100,900,C1102063,152,802,10,37.50286592,126.8446752
