dutyAddr,dutyMapimg,dutyName,dutyTel1,dutyTel1,dutyTime1c,dutyTime1s,dutyTime2c,dutyTime2s,dutyTime3c,dutyTime3s,dutyTime4c,dutyTime4s,dutyTime5c,dutyTime5s,dutyTime6c,dutyTime6s,hpid,postCdn1,postCdn2,rnum,wgs84Lat,wgs84Lon
"서울특별시 금천구 시흥대로 214, 비즈메드빌딩 1층 102호 (시흥동)",1층메디컬약국,1층메디컬약국,02-891-1112,2000,900,2000,900,2000,900,2030,900,2000,900,1530,900,1600,C1109171,86,28,1,37.45304289,126.9017122
"서울특별시 금천구 시흥대로62길 29, 1층 (시흥동)",365그랜드약국,365그랜드약국,02-896-1223,2130,930,2130,930,2130,930,2130,930,2130,930,2130,930,2130,C1109521,86,26,2,37.45588019,126.9017245
"서울특별시 금천구 독산로 133, 1층 (시흥동)",가까운약국,가까운약국,02-802-7779,1900,800,1900,800,1900,800,1900,800,1900,800,1430,800,1430,C1109519,86,22,3,37.45918029,126.9048737
"서울특별시 금천구 가산디지털1로 171, 가산 에스케이 브이원 센터 1층 117호 (가산동)",가디온누리약국,가디온누리약국,02-6674-5544,1900,830,1900,830,1900,830,1900,830,1900,830,1000,900,1330,C1108322,85,3,4,37.480791,126.8812547
"서울특별시 금천구 가산디지털1로 5, 대륭테크노타운 20차 107호 (가산동)",가람약국,가람약국,02-2225-0048,2000,800,2000,800,2000,800,2000,800,2000,800,1230,1230,2130,C1108810,85,94,5,37.46674548,126.8867188
"서울특별시 금천구 디지털로9길 68, 대륭포스트타워 5차 1층 106호 (가산동)","소중한메디케어, 건강검진, 내과, 비뇨기과 진료",가산소중한약국,02-3281-8005,1830,800,1830,800,1830,800,1830,800,1830,800,1330,800,1330,C1108554,85,12,6,37.4810772,126.8864188
서울특별시 금천구 가산로 116 (가산동),가산약국,가산약국,02-838-1158,2200,830,2200,830,2200,830,2200,830,2200,830,2200,830,1900,C1104205,85,29,7,37.47608491,126.8931177
"서울특별시 금천구 남부순환로 1372 (독산동, 현경빌딩)",강남약국,강남약국,02-851-1630,1800,900,1800,900,1800,900,1800,900,1800,900,1800,900,1800,C1107458,85,37,8,37.47945973,126.9034751
서울특별시 금천구 시흥대로 391  (독산동),건강플러스약국,건강플러스약국,02-890-8058,2200,1000,2200,1000,2200,1000,2200,1000,2200,1000,2200,1000,2230,C1103687,85,84,9,37.46866368,126.8968873
서울특별시 금천구 남부순환로 1384,건강한약국,건강한약국,02-866-1191,2100,900,2100,900,2100,900,2100,900,2100,900,1600,900,1600,C1102916,85,47,10,37.479724,126.9044544
