dutyAddr,dutyMapimg,dutyName,dutyTel1,dutyTime1c,dutyTime1s,dutyTime2c,dutyTime2s,dutyTime3c,dutyTime3s,dutyTime4c,dutyTime4s,dutyTime5c,dutyTime5s,dutyTime6c,dutyTime6s,hpid,postCdn1,postCdn2,rnum,wgs84Lat,wgs84Lon
"서울특별시 노원구 한글비석로 383, 1층 일부호 (중계동, 삼창타워프라자)",1층호약국,1층호약국,02-933-9487,2000,900,2000,900,2000,900,2000,900,2000,900,1700,900,C1107724,16,99,1,37.65911341,127.0730755
서울특별시 노원구 동일로 1548 (상계동),마들역1번출구전방50m세일빌딩1층,21세기상계약국,02-937-2288,2100,800,2100,800,2100,800,2100,800,2100,800,2100,800,C1103965,16,74,2,37.66663705,127.0576358
"서울특별시 노원구 상계로 59, 동익빌딩 1층 7,8호 (상계동)",365정화약국,365정화약국,02-935-4869,2300,900,2300,900,2300,900,2300,900,2300,900,2300,900,C1108991,16,94,3,37.65616028,127.0615152
"서울특별시 노원구 동일로 1059, (공릉동)",i튼튼약국,i튼튼약국,02-972-0246,2100,900,2100,900,2100,900,2100,900,2100,900,1600,900,C1104353,18,57,4,37.62454453,127.0729329
"서울특별시 노원구 덕릉로 662  (중계동, 주공3단지아파트)",the사랑약국,the사랑약국,02-933-3678,2000,900,2000,900,2000,900,2000,900,2000,900,1700,900,C1107991,17,11,5,37.65609213,127.0749674
"서울특별시 노원구 한글비석로 242, 113호, 114호 (중계동, 삼부프라자)","중계동은행사거리유경마트옆, 삼부프라자113-114호",건강과행복이열리는약국,02-933-9696,2000,900,2000,900,2000,900,2000,900,2000,900,2000,900,C1102082,17,34,6,37.6492349,127.0769736
"서울특별시 노원구 동일로243길 33, 1층 (상계동)",건강샘온누리약국,건강샘온누리약국,02-931-5688,2000,830,2000,830,2000,830,2000,830,2000,830,1600,830,C1107939,16,5,7,37.6784447,127.0531205
"서울특별시 노원구 화랑로 463, (공릉동)",건강약국,건강약국,02-978-7597,1900,900,1900,900,1900,900,1900,900,1900,900,1600,900,C1102039,18,3,8,37.61899799,127.0786499
서울특별시 노원구 상계로1길 38 (상계동),4호선노원역9번출구에서100m 금문빌딩 102호,건강플러스약국,02-935-5347,2100,900,2100,900,2100,900,2100,900,2100,900,2200,900,C1102801,16,93,9,37.65770092,127.061703
"서울특별시 노원구 노해로 490, 길빌딩 1층 107호 (상계동)",건강한생활약국,건강한생활약국,02-6203-4900,1900,930,1900,930,1900,930,1900,930,1900,930,1600,930,C1109459,17,51,10,37.65440974,127.0624109
