dutyAddr,dutyMapimg,dutyName,dutyTel1,dutyTime1c,dutyTime1s,dutyTime2c,dutyTime2s,dutyTime3c,dutyTime3s,dutyTime4c,dutyTime4s,dutyTime5c,dutyTime5s,dutyTime6c,dutyTime6s,hpid,postCdn1,postCdn2,rnum,wgs84Lat,wgs84Lon
"서울특별시 동대문구 전농로 60-1, 1층 (답십리동)",365종로약국,365종로약국,02-2215-8704,2400,800,2400,800,2400,800,2400,800,2400,800,2400,800,C1107130,26,15,1,37.56827005,127.0572846
"서울특별시 동대문구 천호대로 133, 홈플러스 동대문점 지하2층 (용두동)",365플러스약국,365플러스약국,02-963-0110,2200,1000,2200,1000,2200,1000,2200,1000,2200,1000,2200,1000,C1109430,25,65,2,37.57454832,127.0387678
"서울특별시 동대문구 천호대로 425, 4층 401호 (장안동)",장한평역4번출구전방100M게로스빌딩401호,4층현약국,02-2245-3015,1800,930,1800,930,1800,930,1800,930,1800,930,1400,930,C1103796,26,45,3,37.5618141,127.0664701
"서울특별시 동대문구 천호대로 313 10호, 11호 (답십리동, 태영빌딩)",답십리역 4번 출구,가까운약국,02-3394-4882,2000,900,2000,900,2000,900,2000,900,2000,900,1500,900,C1104769,26,22,4,37.56544547,127.0553084
"서울특별시 동대문구 한천로 242, 1층 (전농동)","첫번째 일요일은 세미나 참석으로 약국 영업하지 않으며, 그외 일요일은 개문하나 반드시 방문전 전화연결 확인 후 방문 바람
휘경여자중학교 맞은편",감초당온누리약국,02-438-1314,2100,900,2100,900,2100,900,2100,900,2100,900,1600,900,C1100071,25,12,5,37.58249972,127.0686079
"서울특별시 동대문구 전농로 110, 1층 (답십리동)",강북열린약국,강북열린약국,02-2248-5023,2000,830,2000,830,2000,830,2000,830,2000,830,1530,830,C1104652,25,38,6,37.57461442,127.0577239
"서울특별시 동대문구 왕산로 176, 2층 (전농동)",창현빌딩2층,건강약국,02-2282-4830,2000,800,2000,800,2000,800,2000,800,2000,800,1500,800,C1102974,25,59,7,37.57916512,127.0429242
"서울특별시 동대문구 왕산로32길 7, 4층 6호 (용두동)",건강한약국,건강한약국,02-957-9784,1900,800,1900,800,1900,800,1900,800,1900,800,1500,800,C1107212,25,60,8,37.57872809,127.0417966
서울특별시 동대문구 약령중앙로 72-2 (제기동),건수당한약국,건수당한약국,02-966-6835,1900,900,1900,900,1900,900,1900,900,1900,900,1700,900,C1108205,24,78,9,37.58470485,127.0377015
"서울특별시 동대문구 약령서1길 30-2, 1층 (제기동)",경신당약국,경신당약국,02-964-6044,1730,930,1730,930,1730,930,1730,930,1730,930,1730,930,C1108168,25,69,10,37.57982545,127.0365126
