dutyAddr,dutyMapimg,dutyName,dutyTel1,dutyTime1c,dutyTime1s,dutyTime2c,dutyTime2s,dutyTime3c,dutyTime3s,dutyTime4c,dutyTime4s,dutyTime5c,dutyTime5s,dutyTime6c,dutyTime6s,hpid,postCdn1,postCdn2,rnum,wgs84Lat,wgs84Lon
"서울특별시 동작구 현충로 75, 원불교100년기념관 (흑석동)",2층은약국,2층은약국,02-6484-8248,1900,915,2100,915,1900,915,2100,915,2030,915,1500,915,C1108799,69,4,1,37.50975909,126.9638593
"서울특별시 동작구 등용로 115, 101호 (대방동, 엘리시아빌딩)","대방동현대2차아파트입구, 2층서울대방내과 일요일 오전근무",가족건강약국,02-822-9095,2000,800,2000,800,2000,800,2000,800,2000,800,2000,900,C1107566,69,42,2,37.51144717,126.9317558
서울특별시 동작구 시흥대로 668-2 (신대방동),강림약국,강림약국,02-832-8975,2130,900,2130,900,2130,900,2130,900,2130,900,2130,900,C1104363,70,68,3,37.49106156,126.9085621
"서울특별시 동작구 서달로 158 (흑석동, 명수대상가104호)",명수대상가,강약국,02-816-8766,2100,900,2100,900,2100,900,2100,900,2100,900,1900,900,C1101991,69,79,4,37.50727658,126.9622651
"서울특별시 동작구 흑석로 106-5, 1층 (흑석동)",흑석역3번출구도보100m,건강과행복이열리는중앙메디칼약국,02-811-1700,1830,830,1830,830,1830,830,1830,830,1830,830,1330,830,C1104841,69,72,5,37.50789262,126.9614595
서울특별시 동작구 만양로 5 (상도동),2014.04 개업,건강약국,02-3280-2828,2100,900,2100,900,2100,900,2100,900,2100,900,1530,930,C1106961,69,21,6,37.50538561,126.9465229
서울특별시 동작구 상도로 202 (상도동),동작구보건소입구(지하철장승배기역1번출구에서상도역쪽으로100m정도에위치함),건강온누리약국,02-815-1120,2100,800,2100,800,2100,800,2100,800,2100,800,2000,900,C1103196,69,64,7,37.50495053,126.9410855
"서울특별시 동작구 성대로 32 (상도동, 계령약국)",계령약국,계령약국,02-822-8105,2000,930,1930,930,2000,930,2000,930,1900,930,2000,930,C1103002,70,42,8,37.49916539,126.9330246
서울특별시 동작구 사당로23길 185 (사당동),서울동작구사당3동175-24,고은약국,02-532-5384,2000,900,2000,900,2000,900,2000,900,2000,900,1500,900,C1101879,69,89,9,37.49041934,126.9706774
서울특별시 동작구 여의대방로36길 1 (대방동),대방동해군회관사거리성남중고방면,고은온누리약국,02-826-8347,2100,900,2100,900,2100,900,2100,900,2100,900,1900,900,C1104558,69,45,10,37.50425495,126.9223664
