dutyAddr,dutyMapimg,dutyName,dutyTel1,dutyTime1c,dutyTime1s,dutyTime2c,dutyTime2s,dutyTime3c,dutyTime3s,dutyTime4c,dutyTime4s,dutyTime5c,dutyTime5s,dutyTime6c,dutyTime6s,hpid,postCdn1,postCdn2,rnum,wgs84Lat,wgs84Lon
"서울특별시 마포구 월드컵북로 230, 201호 (중동, 현대상가)",현대상가 201호,2층하늘약국,02-303-4290,1830,930,1830,930,1830,930,1830,930,1830,930,1400,930,C1104164,39,41,1,37.57014047,126.9038336
"서울특별시 마포구 백범로 199, 메트로디오빌빌딩 108호 (신공덕동)",365열린약국,365열린약국,02-6010-2720,2100,800,2100,800,2100,800,2100,800,2100,800,1700,800,C1109579,41,95,2,37.54350072,126.9528871
"서울특별시 마포구 월드컵북로 230, 305호 (중동, 현대상가)",3층온누리약국,3층온누리약국,02-306-4743,1830,900,1830,900,1830,900,1830,900,1830,900,1500,900,C1107093,39,41,3,37.57015092,126.9038301
서울특별시 마포구 월드컵북로 361  (상암동),이안상암2단지 3층 302호,DMC하늘약국,02-483-1457,1930,930,1930,930,1930,930,1930,930,1930,930,1500,930,C1102944,39,8,4,37.57708841,126.8914183
"서울특별시 마포구 월드컵로3길 14, 220호 (합정동)",delight이화약국,delight이화약국,02-332-3984,2100,900,2100,900,2100,900,2100,900,2100,900,2100,900,C1107943,40,24,5,37.55100941,126.9116485
"서울특별시 마포구 방울내로 70, (망원동)",건강약국,건강약국,02-333-2090,2100,900,2100,900,2100,900,2100,900,2100,900,1300,900,C1102053,39,64,6,37.56008493,126.9033168
"서울특별시 마포구 신촌로 지하 90, 신촌역 B1 240-107호 (노고산동)",고래약국,고래약국,02-333-7967,2300,800,2300,800,2300,800,2300,800,2300,800,2300,900,C1109282,40,58,7,37.55544179,126.9361192
"서울특별시 마포구 백범로 212, 2층 (신공덕동, 대우 월드마크마포)",공덕역마트약국,공덕역마트약국,02-715-2483,2130,1000,2130,1000,2130,1000,2130,1000,2130,1000,2130,1000,C1108222,41,96,8,37.54243052,126.9533671
"서울특별시 마포구 새창로 11, 1층 (도화동)",공덕오거리약국,공덕오거리약국,02-711-8411,2100,900,2100,900,2100,900,2100,900,2100,900,1600,900,C1108518,41,68,9,37.54246934,126.9513258
"서울특별시 마포구 만리재로 15, 제일빌딩 1층 19호 (공덕동)",공덕제일약국,공덕제일약국,02-707-1012,2000,900,2000,900,2000,900,2000,900,2000,900,1600,900,C1109287,42,14,10,37.54458493,126.9527677
