dutyAddr,dutyMapimg,dutyName,dutyTel1,dutyTime1c,dutyTime1s,dutyTime2c,dutyTime2s,dutyTime3c,dutyTime3s,dutyTime4c,dutyTime4s,dutyTime5c,dutyTime5s,dutyTime6c,dutyTime6s,hpid,postCdn1,postCdn2,rnum,wgs84Lat,wgs84Lon
"서울특별시 서대문구 성산로 515, 석란 1층 (대신동)",8번가위드팜약국,8번가위드팜약국,02-313-4588,1900,900,1900,900,1900,900,1900,900,1900,900,1400,900,C1108747,37,21,1,37.5630334,126.9433334
"서울특별시 서대문구 연세로 40, 1~4층 (창천동)",가까운신촌약국,가까운신촌약국,02-362-1001,1900,900,1900,900,1900,900,1900,900,1900,900,1400,900,C1108766,37,76,2,37.55914978,126.9371728
서울특별시 서대문구 모래내로 364 (홍은동) ,2014.07 개업,가까운약국,02-394-7789,2100,900,2100,900,2100,900,2100,900,2100,900,1800,900,C1107045,36,53,3,37.58187549,126.93651
서울특별시 서대문구 모래내로 137 1층 (남가좌동),가좌진약국,가좌진약국,02-372-7749,1930,900,1930,900,1930,900,1930,900,1930,900,1430,900,C1107449,37,12,4,37.56909805,126.9169247
"서울특별시 서대문구 세검정로1길 7, (홍은동)",강약국,강약국,02-396-9677,1900,900,1900,900,1900,900,1900,900,1900,900,1400,900,C1103011,36,15,5,37.59212454,126.942285
서울특별시 서대문구 응암로 53,거북당약국,거북당약국,02-372-0744,1900,1000,1900,1000,1900,1000,1900,1000,1900,1000,2000,900,C1102079,36,81,6,37.5782538,126.909824
"서울특별시 서대문구 가재울로6길 53-61, 1층 (남가좌동)",건강약국,건강약국,02-373-4439,1830,900,1830,900,1830,900,1830,900,1830,900,1430,900,C1109267,36,92,7,37.57670344,126.9230531
"서울특별시 서대문구 성산로 494-30, 대우빌딩 1층 (대신동)",광장약국,광장약국,02-364-5595,1900,850,1900,850,1900,850,1900,850,1900,850,1400,850,C1109384,37,65,8,37.56060858,126.9413767
"서울특별시 서대문구 성산로17길 5, (연희동)",광혜약국,광혜약국,02-362-6250,1900,900,1900,900,1900,900,1900,900,1900,900,1400,900,C1101196,37,26,9,37.56299859,126.9314055
"서울특별시 서대문구 신촌로35길 10, 1층 114호 (북아현동, e편한세상신촌4단지)",굴레방약국,굴레방약국,02-6406-3500,1830,900,1830,900,1830,900,1830,900,1830,900,1400,900,C1107809,37,72,10,37.55864228,126.9559737
