dutyAddr,dutyMapimg,dutyName,dutyTel1,dutyTime1c,dutyTime1s,dutyTime2c,dutyTime2s,dutyTime3c,dutyTime3s,dutyTime4c,dutyTime4s,dutyTime5c,dutyTime5s,dutyTime6c,dutyTime6s,hpid,postCdn1,postCdn2,rnum,wgs84Lat,wgs84Lon
서울특별시 서초구 반포대로 287,3층한사랑약국,3층한사랑약국,02-592-5775,1830,900,1830,900,1830,900,1830,900,1830,900,1400,900,C1103983,65,47,1,37.50454858,127.0008792
"서울특별시 서초구 서초중앙로 125, 로이어즈타워 8층 803호 (서초동)",8층약국,8층약국,02-582-8885,2000,900,2000,900,2000,900,2000,900,2000,900,1600,900,C1108671,66,44,2,37.49300947,127.0134188
"서울특별시 서초구 강남대로 465, 교보타워 B동 지상1층 (서초동)",정보확인필요 01080111884,가온약국,02-533-1884,2000,1000,2000,1000,2000,1000,2000,1000,2000,1000,1800,1000,C1108125,66,11,3,37.50375542,127.0241119
"서울특별시 서초구 방배로 174, 1층 (방배동, 태창빌딩)",강남메디칼약국,강남메디칼약국,02-594-0801,2000,830,2000,830,2000,830,2000,830,2000,830,1600,830,C1107642,65,86,4,37.489183,126.9930618
"서울특별시 서초구 효령로 12, 1층 (방배동)",강남사랑약국,강남사랑약국,02-523-9775,1830,830,1830,830,1830,830,1830,830,1830,830,1400,830,C1103022,66,98,5,37.47687106,126.9867274
"서울특별시 서초구 강남대로 463, 102호 (서초동,리젠타워)",리젠타워 지하1층 102호,강남약국,070-7755-2030,2100,900,2100,900,2100,900,2100,900,2100,900,1900,900,C1104119,66,11,6,37.50347063,127.0244556
"서울특별시 서초구 서초대로77길 9, 강남 누드죤빌딩 104호 (서초동)",강남엘약국,강남엘약국,02-533-7737,2000,1000,2000,1000,2000,1000,2000,1000,2100,1000,1800,930,C1109069,66,15,7,37.49858942,127.0262133
서울특별시 서초구 서초대로 307  (서초동),교대역 3번 출구 인근,건강과행복이열리는약국,02-591-3399,2100,900,2100,900,2100,900,2100,900,2100,900,2100,900,C1103009,66,6,8,37.49440447,127.0151303
"서울특별시 서초구 바우뫼로 23, 101호 (우면동,선일상가)",선일상가101호,고명약국,02-2057-3448,2030,900,2030,900,2030,900,2030,900,2030,900,2000,900,C1101928,67,62,9,37.47039626,127.0252271
"서울특별시 서초구 신반포로 194, 서울고속버스터미널 본관동1층 쇼케이스1호 (반포동)",고속터미널약국,고속터미널약국,02-595-2260,2200,900,2200,900,2200,900,2200,900,2200,900,2200,900,C1108687,65,45,10,37.50643574,127.0068344
