dutyAddr,dutyMapimg,dutyName,dutyTel1,dutyTime1c,dutyTime1s,dutyTime2c,dutyTime2s,dutyTime3c,dutyTime3s,dutyTime4c,dutyTime4s,dutyTime5c,dutyTime5s,dutyTime6c,dutyTime6s,hpid,postCdn1,postCdn2,rnum,wgs84Lat,wgs84Lon
서울특별시 성동구 무수막길 97  (금호동2가),21세기메디칼약국,21세기메디칼약국,02-2252-6626,2100,830,2100,830,2100,830,2100,830,2100,830,2100,830,C1102117,47,26,1,37.55433845,127.0198548
"서울특별시 성동구 왕십리로 320-1, 1층 (도선동)",건강한약국,건강한약국,02-2231-8803,2000,800,2000,800,2000,800,2000,800,2000,800,1700,800,C1107707,47,9,2,37.56232161,127.034186
"서울특별시 성동구 아차산로 92, 광명타워 1층 (성수동2가)",건국약국,건국약국,02-549-5011,1930,900,1930,900,1930,900,1930,900,1930,900,1400,900,C1107545,47,82,3,37.54475185,127.054243
"서울특별시 성동구 성덕정길 105, (성수동2가)",공중약국,공중약국,02-3409-2755,2000,900,2000,900,2000,900,2000,900,2000,900,1600,900,C1102026,47,76,4,37.53745695,127.0551113
서울특별시 성동구 독서당로 288-1 (금호동4가),국제약국,국제약국,02-2294-3833,1815,900,1815,900,1815,900,1815,900,1815,900,1500,900,C1101818,47,37,5,37.54777173,127.0212156
"서울특별시 성동구 독서당로 302, 1층 (금호동4가)",금호프라자약국,금호프라자약국,02-2291-5450,2100,830,2100,830,2100,830,2100,830,2100,830,1800,930,C1109355,47,37,6,37.54761108,127.0227309
서울특별시 성동구 독서당로 173,극동그린상가101-2,기린약국,02-2299-8850,1930,830,1930,830,1930,830,1930,830,1930,830,1600,830,C1104445,47,32,7,37.54149982,127.0109584
"서울특별시 성동구 금호로 94, 금호힐오피스텔 2층 201호 (금호동1가)",나무약국,나무약국,070-8820-2990,1930,900,1930,900,1930,900,1930,900,1930,900,1430,900,C1100028,47,18,8,37.55166451,127.0257031
"서울특별시 성동구 왕십리로 410, D동 비103호 (하왕십리동, 센트라스)",늘푸른약국,늘푸른약국,02-6015-0525,1900,900,1900,900,1900,900,1900,900,1900,900,1500,900,C1108487,47,1,9,37.56659122,127.0240824
서울특별시 성동구 장터1길 2 (금호동3가),다나을약국,다나을약국,02-2231-1703,2030,900,2030,900,2030,900,2030,900,2030,900,1800,900,C1104197,47,24,10,37.54867703,127.0169428
