dutyAddr,dutyMapimg,dutyName,dutyTel1,dutyTime1c,dutyTime1s,dutyTime2c,dutyTime2s,dutyTime3c,dutyTime3s,dutyTime4c,dutyTime4s,dutyTime5c,dutyTime5s,dutyTime6c,dutyTime6s,hpid,postCdn1,postCdn2,rnum,wgs84Lat,wgs84Lon
서울특별시 성북구 고려대로 80 (안암동5가),21세기고려약국,21세기고려약국,02-929-9696,1830,930,1830,930,1830,930,1830,930,1830,930,1230,930,C1104797,28,55,1,37.58611667,127.02816
"서울특별시 성북구 동소문로 321, 1층 (길음동)",365약국,365약국,02-985-1365,2030,900,2030,900,2030,900,2030,900,2030,900,2030,900,C1107010,27,29,2,37.60863032,127.0294596
"서울특별시 성북구 동소문로 34, 1층 (동소문동3가, 연진빌딩)",지하철4호선한성대입구역1번출구,W스토어참좋은약국,02-921-1255,2000,800,2000,800,2000,800,2000,800,2000,800,1700,800,C1104800,28,60,3,37.58982089,127.0098778
서울특별시 성북구 보문로 44 (보문동7가),2014.03 개업,가까운약국,02-3291-5354,2030,900,2030,900,2030,900,2030,900,2030,900,2030,900,C1106984,28,59,4,37.57953698,127.0227688
"서울특별시 성북구 고려대로13길 8, 1층 (안암동2가)",서울안암초 인근,가까운행복약국,02-928-4545,1800,800,1800,800,1800,800,1800,800,1800,800,1300,800,C1107746,28,43,5,37.58699702,127.0236768
"서울특별시 성북구 오패산로3길 158, 1층 (하월곡동)",가정약국,가정약국,02-6082-3979,2000,830,2000,830,2000,830,2000,830,2000,830,2000,830,C1108876,27,37,6,37.60992556,127.0329367
서울특별시 성북구 아리랑로 117-7 (정릉동),강원약국,강원약국,02-914-8814,2030,900,2030,900,2030,900,2030,900,2030,900,2030,900,C1104643,28,20,7,37.60248852,127.0130096
서울특별시 성북구 장월로 128 (장위동),개미약국,개미약국,02-915-7770,1900,840,1900,840,1900,840,1900,840,1900,840,1500,840,C1101995,27,66,8,37.61680455,127.0496106
서울특별시 성북구 동소문로 71 (동소문동6가),건강약국,건강약국,02-935-7971,2000,900,2000,900,2000,900,2000,900,2000,900,1800,900,C1102968,28,30,9,37.59208386,127.0131889
"서울특별시 성북구 동소문로42길 14, 1층 (하월곡동)",건강한약국,건강한약국,02-916-6445,2000,900,2000,900,2000,900,2000,900,2000,900,2000,900,C1103554,27,34,10,37.60572594,127.0277824
