dutyAddr,dutyMapimg,dutyName,dutyTel1,dutyTime1c,dutyTime1s,dutyTime2c,dutyTime2s,dutyTime3c,dutyTime3s,dutyTime4c,dutyTime4s,dutyTime5c,dutyTime5s,dutyTime6c,dutyTime6s,hpid,postCdn1,postCdn2,rnum,wgs84Lat,wgs84Lon
"서울특별시 송파구 오금로 20, 잠실나루역 1층 002호 (신천동)",2호선아산나나약국,2호선아산나나약국,02-417-3222,1830,830,1830,830,1830,830,1830,830,1830,830,1830,830,C1109202,55,4,1,37.52068673,127.1038111
"서울특별시 송파구 양재대로 1222, 올림픽프라자 23-1,23호 (방이동)",3층메디칼약국,3층메디칼약국,02-401-7657,2000,830,2000,830,2000,830,2000,830,2000,830,1800,830,C1107277,56,48,2,37.5157262,127.1310621
서울특별시 송파구 올림픽로35길 124  (신천동),장미B상가 315호,3층하나약국,02-412-3358,1900,830,1900,830,1900,830,1900,830,1900,830,1500,900,C1103579,55,4,3,37.51784437,127.1018054
서울특별시 송파구 토성로 16 (풍납동),가가호호조은약국,가가호호조은약국,02-3784-8500,1830,900,1830,900,1830,900,1830,900,1830,900,1830,900,C1104559,55,35,4,37.53083206,127.1121315
"서울특별시 송파구 토성로 18, 1층, 지층 (풍납동)",가까운새서울약국,가까운새서울약국,02-477-8205,1800,900,1800,900,1800,900,1800,900,1800,900,1830,900,C1108571,55,35,5,37.53082471,127.1122899
"서울특별시 송파구 강동대로 74, 잠실올림픽아이파크상가 1층 108호, 지층 B103호 (풍납동)",우성상가내,가까운이화약국,02-489-4383,1830,900,1830,900,1830,900,1830,900,1830,900,1830,900,C1103201,55,6,6,37.52643969,127.1149305
"서울특별시 송파구 충민로 52, 가든파이브웍스 S동 307호 (문정동)",가든건강약국,가든건강약국,02-2047-1140,2000,1000,2000,1000,2000,1000,2000,1000,2000,1000,1700,1000,C1107837,58,39,7,37.47771628,127.1227472
서울특별시 송파구 충민로 66  (문정동),가든파이브라이프관 1001,가든파이브약국,02-2157-0600,2100,900,2100,900,2100,900,2100,900,2200,900,2200,900,C1103692,58,38,8,37.47767754,127.1249641
"서울특별시 송파구 송파대로 286, 신흥빌딩 (가락동)",가락시장맞은편금호아파트입구,가락약국,02-449-8421,2100,900,2100,900,2100,900,2100,900,2100,900,1900,900,C1102133,57,11,9,37.49492756,127.1171846
"서울특별시 송파구 동남로 207, (가락동)",가락온누리약국,가락온누리약국,02-400-3332,1800,900,1800,900,1800,900,1800,900,1800,900,1700,900,C1100151,58,20,10,37.49607005,127.1309057
