dutyAddr,dutyMapimg,dutyName,dutyTel1,dutyTime1c,dutyTime1s,dutyTime2c,dutyTime2s,dutyTime3c,dutyTime3s,dutyTime4c,dutyTime4s,dutyTime5c,dutyTime5s,dutyTime6c,dutyTime6s,hpid,postCdn1,postCdn2,rnum,wgs84Lat,wgs84Lon
"서울특별시 양천구 월정로 50, 209호 (신월동, 청솔아파트)",청솔아파트상가2층207호,2층소망약국,02-2608-8096,1830,900,1830,900,1830,900,1830,900,1830,900,1300,900,C1102165,79,36,1,37.52423863,126.8422218
"서울특별시 양천구 등촌로 32, 목동태영프라자 102호 (목동)","365일 연중무휴 약국입니다.
양약,한약,건강기능식품,식품,의료기기 등 건강에 도움되는 모든 것을 다루며 개개인의 건강과상황에 따른 차별화된 상담을 해드립니다.
어느 약국보다 다양한 반려동물약이 구비되어있습니다. 합리적인 가격으로 부담을 덜어드리고자 노력중이니 언제든 문의주세요.
목동역 3번 출구, 목동사거리 인근",365 새누리약국,02-2648-1858,2100,800,2100,800,2100,800,2100,800,2100,800,1900,800,C1103221,79,65,2,37.53288669,126.864165
"서울특별시 양천구 목동서로 349, 센트럴프라자 106호 (신정동)",양천구청뒤센트럴프라자빌딩1층106호,가까운온누리약국,02-2650-8828,2100,900,2100,900,2100,900,2100,900,2100,900,2100,900,C1102849,80,95,3,37.5175308,126.8652179
"서울특별시 양천구 공항대로 564, 1층 5호 (목동)",가람약국,가람약국,02-2658-3518,2030,900,2030,900,2030,900,2030,900,2030,900,1530,900,C1102134,79,47,4,37.54909446,126.86787
"서울특별시 양천구 목동동로 293, 현대41타워 1층 38호 (목동)",가온온누리약국,가온온누리약국,02-2061-1119,2030,930,2030,930,2030,930,2030,930,2030,930,1830,930,C1109253,79,97,5,37.52817831,126.875772
"서울특별시 양천구 목동중앙본로 128-2, 1층 (목동)",가정약국,가정약국,02-2648-5110,2100,900,2100,900,2100,900,2100,900,2100,900,1800,900,C1102140,79,68,6,37.54670961,126.8720453
"서울특별시 양천구 화곡로 105, (신월동)",강약국,강약국,02-2698-3027,1800,900,1800,900,1800,900,1800,900,1800,900,1300,900,C1101992,79,3,7,37.54004927,126.8336038
서울특별시 양천구 곰달래로5길 30,"신월1동월정시장입구 은성상가 103,104호",건강약국,02-2697-0485,2030,900,2030,900,2030,900,2030,900,2030,900,2000,900,C1102054,79,22,8,37.53242836,126.8334625
서울특별시 양천구 오목로 350,오목교역 5번출구,건강온누리약국,02-2645-5538,1900,900,1900,900,1900,900,1900,900,1900,900,1600,900,C1104271,80,7,9,37.52414915,126.8762921
"서울특별시 양천구 지양로 22, 승원빌딩 1층 102호 (신월동)","승원빌딩 1층,102호",건강한우리약국,02-2693-3137,1800,830,1800,830,1800,830,1800,830,1800,830,1800,830,C1102037,80,41,10,37.51874596,126.8373663
