dutyAddr,dutyMapimg,dutyName,dutyTel1,dutyTime1c,dutyTime1s,dutyTime2c,dutyTime2s,dutyTime3c,dutyTime3s,dutyTime4c,dutyTime4s,dutyTime5c,dutyTime5s,dutyTime6c,dutyTime6s,hpid,postCdn1,postCdn2,rnum,wgs84Lat,wgs84Lon
"서울특별시 용산구 한강대로 69, 상가동 2층 222-2호 (한강로2가, 용산푸르지오써밋)",2층써밋약국,2층써밋약국,02-797-8920,1900,900,1900,900,1900,900,1900,900,1900,900,1400,900,C1108226,43,78,1,37.52704181,126.9648934
"서울특별시 용산구 한강대로 69, 3층 305-1호 (한강로2가, 용산푸르지오써밋)",3층 파란문 약국,3층 파란문 약국,02-796-9008,1500,1000,1500,1000,1500,1000,1500,1000,1500,1000,1530,1000,C1108026,43,78,2,37.52704181,126.9648934
"서울특별시 용산구 대사관로31길 7-10, 1층 (한남동)",가까운우리약국,가까운우리약국,02-749-6011,1830,830,1830,830,1830,830,1830,830,1830,830,1300,900,C1108971,44,1,3,37.5339502,127.0053863
서울특별시 용산구 대사관로 52  (한남동),가장큰태평양약국,가장큰태평양약국,02-790-3376,1830,900,1830,900,1830,900,1830,900,1830,900,1330,900,C1104678,44,2,4,37.53331794,127.003892
서울특별시 용산구 청파로 333 (청파동1가),소화아동병원에서숙대입구버스길중간지점,가정약국,02-713-6200,2100,900,2100,900,2100,900,2100,900,2100,900,2000,900,C1102141,43,4,5,37.54932668,126.9696947
"서울특별시 용산구 효창원로93길 2, (청파동2가)",청파초등학교정류장앞,건강한약국,02-3273-0750,2100,900,2100,900,2100,900,2100,900,2100,900,1700,900,C1102917,43,11,6,37.54855833,126.9632389
서울특별시 용산구 새창로14길 50 (용문동),"일요일은 불규칙하게 운영하여 방문전 전화확인 필요
용문시장끝새마을금고바로옆",경인약국,02-715-6083,2200,800,2200,800,2200,800,2200,800,2200,800,2000,800,C1102088,43,56,7,37.53737542,126.9593783
서울특별시 용산구 만리재로 134,서울역과마포사이만리동고개,구온누리약국,02-702-7582,2100,830,2100,830,2100,830,2100,830,2100,830,1800,900,C1102006,43,5,8,37.55136866,126.9626286
서울특별시 용산구 한강대로 290-1,국제약국,국제약국,02-794-0705,2130,900,2130,900,2130,900,2130,900,2130,900,2100,900,C1104293,43,52,9,37.54420323,126.9725583
"서울특별시 용산구 후암로 47, 1층 (후암동)",굿윌정약국,굿윌정약국,02-757-6776,2030,900,2030,900,2030,900,2030,900,2030,900,1800,900,C1102635,43,32,10,37.55000411,126.9771724
