dutyAddr,dutyMapimg,dutyName,dutyTel1,dutyTime1c,dutyTime1s,dutyTime2c,dutyTime2s,dutyTime3c,dutyTime3s,dutyTime4c,dutyTime4s,dutyTime5c,dutyTime5s,dutyTime6c,dutyTime6s,hpid,postCdn1,postCdn2,rnum,wgs84Lat,wgs84Lon
"서울특별시 은평구 통일로 856, 메트로타워 2층 2101~2103호 (불광동)",2층종로약국,2층종로약국,02-525-5603,2000,900,2000,900,2000,900,2000,900,2000,900,1400,900,C1109266,33,45,1,37.61962267,126.9215229
"서울특별시 은평구 통일로 739, 1층 (대조동)",365구생약국,365구생약국,02-353-1144,2200,900,2200,900,2200,900,2200,900,2200,900,2200,900,C1108864,33,96,2,37.6112522,126.9287343
"서울특별시 은평구 진관3로 11, 1층 (진관동, 은평뉴타운 힐데스하임)",365미소약국,365미소약국,02-387-1123,2100,900,2100,900,2100,900,2100,900,2100,900,2100,900,C1107949,33,0,3,37.6394627,126.9182694
"서울특별시 은평구 통일로 738, 1층 3호 (불광동)",가까운약국,가까운약국,02-356-9813,2300,850,2200,850,2300,850,2200,850,2300,850,2200,850,C1109050,33,58,4,37.61141586,126.9294067
"서울특별시 은평구 통일로 1031, 101호 (진관동)",가까운우리약국,가까운우리약국,02-355-6637,1800,830,1800,830,1800,830,1800,830,1800,830,1300,830,C1109460,33,12,5,37.63463048,126.9166436
서울특별시 은평구 서오릉로 46,녹번2차 현대아파트 201동 상가104호,가나약국,02-352-5088,1900,900,1900,900,1900,900,1900,900,1900,900,1300,900,C1104479,33,79,6,37.60493339,126.9244409
"서울특별시 은평구 통일로 1030, 은평헤스티아 1,2층 101, 201호호 (진관동)",가람약국,가람약국,02-351-3200,1830,830,1830,830,1830,830,1830,830,1830,830,1300,830,C1108357,33,11,7,37.63419225,126.9176955
"서울특별시 은평구 통일로 1031, 1층 102호 (진관동)",가톨릭정문약국,가톨릭정문약국,02-389-9846,1830,830,1830,830,1830,830,1830,830,1830,830,1330,830,C1108317,33,12,8,37.63463228,126.9166433
"서울특별시 은평구 연서로 216, (대조동)",연신내역5번출구50M,건강밝은약국,02-388-4253,1900,900,1900,900,1900,900,1900,900,1900,900,1600,900,C1104487,33,85,9,37.61780065,126.920119
"서울특별시 은평구 갈현로 300, 206호 (갈현동)",건강샘약국,건강샘약국,02-356-6307,1830,900,1830,900,1830,900,1830,900,1830,900,1400,900,C1108360,33,28,10,37.62360836,126.9174214
