dutyAddr,dutyMapimg,dutyName,dutyTel1,dutyTime1c,dutyTime1s,dutyTime2c,dutyTime2s,dutyTime3c,dutyTime3s,dutyTime4c,dutyTime4s,dutyTime5c,dutyTime5s,dutyTime6c,dutyTime6s,hpid,postCdn1,postCdn2,rnum,wgs84Lat,wgs84Lon
"서울특별시 종로구 송월길 99, 201동 1층 2146호 (홍파동, 경희궁자이 2단지)",DMC 허준약국,DMC 허준약국,02-302-1550,1900,930,1900,930,1900,930,1900,930,1900,930,1500,930,C1107447,31,65,1,37.57091964,126.9622964
"서울특별시 종로구 사직로8길 4, 301동 B127호 (사직동, 광화문 풍림스페이스본)",가람약국,가람약국,02-733-9303,2000,1000,2000,1000,2000,1000,2000,1000,2000,1000,2000,1000,C1109425,31,68,2,37.57467165,126.9684298
"서울특별시 종로구 혜화로 2, 1층 (혜화동)",건강약국,건강약국,02-764-9918,1900,900,1900,900,1900,900,1900,900,1900,900,1300,900,C1102967,30,76,3,37.58608759,127.0008922
"서울특별시 종로구 새문안로 21, 1,2,3,지하1층 (평동)",5호선서대문역4번출구,건강한세상약국,02-733-7870,1800,900,1800,900,1800,900,1800,900,1800,900,1300,900,C1103227,31,81,4,37.56748611,126.9678583
서울특별시 종로구 평창문화로 35  (평창동),경일약국,경일약국,02-391-3469,2200,830,2200,830,2200,830,2200,830,2200,830,2200,830,C1103006,30,8,5,37.60507179,126.9653052
"서울특별시 종로구 송월길 99, 203동 2218호 (홍파동, 경희궁자이 2단지)",경희궁햇살약국,경희궁햇살약국,02-733-3342,2030,900,1900,900,1900,900,2030,900,1900,900,1400,900,C1107791,31,65,6,37.57008777,126.9630717
"서울특별시 종로구 종로 228, 1층 (종로5가)",종로5가전철역5번출구전방50m,공생약국,02-2277-1366,2000,900,2000,900,2000,900,2000,900,2000,900,2000,900,C1103541,31,96,7,37.57070218,127.0030744
"서울특별시 종로구 청계천로 49, (관철동)",종로구관철동광교사거리영풍문고건너편,광교약국,02-734-4690,2130,900,2130,900,2130,900,2130,900,2130,900,1800,900,C1101974,31,89,8,37.5691531,126.9831341
"서울특별시 종로구 삼봉로 44, 1층 (청진동)",광화문123약국,광화문123약국,02-723-0124,2100,900,2100,900,2100,900,2100,900,2100,900,1900,1000,C1108383,31,56,9,37.57239073,126.979674
"서울특별시 종로구 세종대로 159, 4층 (세종로)",광화문역7번출구,광화문윤약국,02-720-1717,1900,900,1900,900,1900,900,1900,900,1900,900,1900,1000,C1107770,31,83,10,37.57060614,126.976342
