dutyAddr,dutyMapimg,dutyName,dutyTel1,dutyTime1c,dutyTime1s,dutyTime2c,dutyTime2s,dutyTime3c,dutyTime3s,dutyTime4c,dutyTime4s,dutyTime5c,dutyTime5s,dutyTime6c,dutyTime6s,hpid,postCdn1,postCdn2,rnum,wgs84Lat,wgs84Lon
"서울특별시 중랑구 면목로39길 8, 한성빌딩 (면목동)",365밝은약국,365밝은약국,02-435-0365,2100,900,2100,900,2100,900,2100,900,2100,900,1700,900,C1102121,22,38,1,37.57976287,127.0871718
"서울특별시 중랑구 망우로 353 C동 309호 (상봉동, 상봉 프레미어스 엠코)",현대엠코 이노시티,3층엠코약국,02-434-7707,2000,930,2000,930,2000,930,2000,930,2000,930,1700,930,C1104787,20,87,2,37.59833435,127.0916234
"서울특별시 중랑구 봉우재로 39, (면목동)",가나안약국,가나안약국,02-434-9259,2230,900,2230,900,2230,900,2230,900,2230,900,2130,900,C1102128,21,28,3,37.59068056,127.0774917
"서울특별시 중랑구 신내로 135, 신내9단지아파트 제상가1동 1층 117호 (신내동)","신내9단지 아파트상가 117, 서울의료원 정문맞은편 새아랑유치원옆",건강약국,02-3421-7582,1830,900,1830,900,1830,900,1830,900,1830,900,1830,900,C1103846,20,26,4,37.61138454,127.095848
"서울특별시 중랑구 동일로 786, 1층 (중화동)",건강제일온누리약국,건강제일온누리약국,02-491-1114,2000,900,2000,900,2000,900,2000,900,2000,900,1500,900,C1104829,20,88,5,37.60071782,127.079985
서울특별시 중랑구 면목로 421,면목역3번출구롯데리아쪽100M,건명약국,02-435-3900,2030,920,2500,920,2020,920,2020,920,1700,920,2500,2000,C1103441,21,46,6,37.58971536,127.0870467
"서울특별시 중랑구 상봉로 49, (면목동)",고려약국,고려약국,02-433-6447,2100,900,2100,900,2100,900,2100,900,2100,900,1700,900,C1104648,21,62,7,37.59023611,127.0932889
"서울특별시 중랑구 공릉로2길 7, 구산빌딩 (묵동)",먹골역1번출구20m,구산약국,02-974-4925,2130,930,2130,930,2130,930,2130,930,2130,930,2130,930,C1101902,20,34,8,37.61222632,127.0784106
"서울특별시 중랑구 봉화산로 194, 신아타운 1층 (신내동)",신아타운104호,국제약국,02-3423-0828,2100,900,2100,900,2100,900,2100,900,2100,900,2100,900,C1104015,20,76,9,37.60645164,127.0947092
"서울특별시 중랑구 겸재로 181, 1층 (면목동)",꽃길약국,꽃길약국,02-2208-7746,2100,900,2100,900,2100,900,2100,900,2100,900,2100,900,C1109017,21,61,10,37.58865522,127.0877817
